,pagerank,centrality,closeness,betweenness,current flow closeness,current flow betweenness,eigenvector
p:Dihedral angle,0.00332516747562,0.986754966887,0.986928104575,8.07143812284e-05,0.490686457235,0.00345062725897,0.0578078222402
p:Thales' theorem,0.00334398127905,0.993377483444,0.993421052632,7.89107566788e-05,0.492318303275,0.00344874900877,0.0581899674297
p:Polytope,0.00335459197304,0.996688741722,0.996699669967,9.73138726206e-05,0.493132409719,0.00347187128228,0.0582921785994
p:Group action,0.00334539546723,0.993377483444,0.993421052632,0.000100915394838,0.49232093076,0.00347596521708,0.058122123553
p:Point groups in three dimensions,0.00331604498496,0.983443708609,0.983713355049,8.59370872765e-05,0.489866909908,0.00345684276825,0.0575839056348
p:Minkowski's theorem,0.00332256469021,0.986754966887,0.986928104575,4.00652856756e-05,0.490681563798,0.00340167561816,0.0579367583708
p:Parallelepiped,0.00334651815064,0.993377483444,0.993421052632,0.000118899858355,0.492323082709,0.00349653605552,0.0580690068355
p:Point group,0.00331371930704,0.983443708609,0.983713355049,4.97772257808e-05,0.489862580701,0.00341250585189,0.0577398444634
p:Equilateral triangle,0.0033444839632,0.993377483444,0.993421052632,8.70330301803e-05,0.49231926104,0.00345879058389,0.0581565395775
p:Leech lattice,0.00334332177546,0.993377483444,0.993421052632,6.87260617498e-05,0.492317053754,0.00343730202308,0.0582055235696
p:Incircle and excircles of a triangle,0.00334332177546,0.993377483444,0.993421052632,6.87260617498e-05,0.492317053754,0.00343730202308,0.0582055235696
p:Noncommutative geometry,0.00334561314324,0.993377483444,0.993421052632,0.000104462609617,0.49232138926,0.0034801649987,0.0581010812816
p:Coordinate-free,0.00317126257114,0.933774834437,0.937888198758,4.27574986107e-05,0.477218084918,0.00339365591358,0.054851467334
p:Kepler–Poinsot polyhedron,0.00333679656144,0.990066225166,0.990163934426,0.000114715359243,0.491507949814,0.00349076994044,0.0579007975638
p:Pedoe's inequality,0.00330271044173,0.980132450331,0.980519480519,2.58174832339e-05,0.489036744297,0.00338334619418,0.0576359243839
p:Mathematics and fiber arts,0.00332469198568,0.986754966887,0.986928104575,7.30318476617e-05,0.490685546348,0.00344108839454,0.0578399348822
p:Curve of constant width,0.00332254082028,0.986754966887,0.986928104575,3.96744912346e-05,0.490681509872,0.00340122534653,0.0579391726526
p:Absolute geometry,0.0033444839632,0.993377483444,0.993421052632,8.70330301803e-05,0.49231926104,0.00345879058389,0.0581565395775
p:Pons asinorum,0.003332174294,0.990066225166,0.990163934426,4.22186518187e-05,0.491499230431,0.00340464010942,0.0581156693591
p:Information geometry,0.003332174294,0.990066225166,0.990163934426,4.22186518187e-05,0.491499230431,0.00340464010942,0.0581156693591
p:Ruppeiner geometry,0.00321800722244,0.950331125828,0.952681388013,3.42411646484e-05,0.481504032606,0.00338771433903,0.0558263727867
p:Pi,0.00336639896505,1.0,1.0,0.00013475169391,0.493946106676,0.00351648745833,0.05836647667
p:Bretschneider's formula,0.00328351509516,0.973509933775,0.974193548387,2.22162994449e-05,0.48738210065,0.00337754627076,0.0572753441506
p:Algebraic geometry,0.00336639896505,1.0,1.0,0.00013475169391,0.493946106676,0.00351648745833,0.05836647667
p:Möbius transformation,0.00334514346679,0.993377483444,0.993421052632,9.71934714284e-05,0.49232050817,0.00347037462388,0.0581409834377
p:Synthetic geometry,0.00333321375483,0.990066225166,0.990163934426,5.84452193094e-05,0.491501141384,0.00342459682863,0.0580698845478
p:Rhombus,0.00335459197304,0.996688741722,0.996699669967,9.73138726206e-05,0.493132409719,0.00347187128228,0.0582921785994
p:Parametric surface,0.00326409572621,0.966887417219,0.967948717949,1.4869843518e-05,0.485715624756,0.00336725661902,0.0569352666094
p:Parallelogram law,0.00334398127905,0.993377483444,0.993421052632,7.89107566788e-05,0.492318303275,0.00344874900877,0.0581899674297
p:Sangaku,0.00331431657648,0.983443708609,0.983713355049,5.86178529055e-05,0.489863609244,0.00342422824048,0.057695787598
p:Pappus's hexagon theorem,0.00331229341205,0.983443708609,0.983713355049,2.74425835648e-05,0.489859886779,0.00338579030663,0.0578181995245
p:Power center (geometry),0.00333537064106,0.990066225166,0.990163934426,9.20572529246e-05,0.491505240411,0.00346386865066,0.057979152625
p:Projective space,0.00334539546723,0.993377483444,0.993421052632,0.000100915394838,0.49232093076,0.00347596521708,0.058122123553
p:Enumerative geometry,0.00332410041283,0.986754966887,0.986928104575,6.3668404017e-05,0.490684402685,0.00342936140805,0.0578924975952
p:Deltahedron,0.00334332177546,0.993377483444,0.993421052632,6.87260617498e-05,0.492317053754,0.00343730202308,0.0582055235696
p:Euclidean distance,0.00336639896505,1.0,1.0,0.00013475169391,0.493946106676,0.00351648745833,0.05836647667
p:Geometry of numbers,0.00333383490463,0.990066225166,0.990163934426,6.81413650891e-05,0.491502334699,0.00343612436545,0.0580234134006
p:Pappus's centroid theorem,0.00330261367695,0.980132450331,0.980519480519,2.42511746093e-05,0.489036596285,0.00338145229547,0.0576470779653
p:Inversive geometry,0.00334332177546,0.993377483444,0.993421052632,6.87260617498e-05,0.492317053754,0.00343730202308,0.0582055235696
p:Mathematics,0.00335525148227,0.996688741722,0.996699669967,0.000107484493957,0.493133658016,0.00348390904705,0.0582766224595
p:Orthocentric system,0.00333321375483,0.990066225166,0.990163934426,5.84452193094e-05,0.491501141384,0.00342459682863,0.0580698845478
p:Dissection problem,0.00329380503189,0.976821192053,0.977346278317,3.46154008488e-05,0.488212124429,0.00339391800036,0.0573918687704
p:Rectangle,0.00334502074901,0.993377483444,0.993421052632,9.53269532678e-05,0.49232022434,0.00346808152005,0.0581441826184
p:Strähle construction,0.00325470250724,0.96357615894,0.964856230032,1.61865626714e-05,0.484878803352,0.00336829880662,0.0567307015245
p:Kite (geometry),0.00333364211058,0.990066225166,0.990163934426,6.52401891946e-05,0.491502003255,0.00343288479087,0.0580344020103
p:List of circle topics,0.00331399731749,0.983443708609,0.983713355049,5.40492710708e-05,0.489863019645,0.00341867334745,0.0577111127007
p:Brahmagupta's formula,0.003332174294,0.990066225166,0.990163934426,4.22186518187e-05,0.491499230431,0.00340464010942,0.0581156693591
p:Pedal triangle,0.00326427430505,0.966887417219,0.967948717949,1.77981831328e-05,0.485716079628,0.00337103009825,0.0569174174277
p:Handedness,0.00335525148227,0.996688741722,0.996699669967,0.000107484493957,0.493133658016,0.00348390904705,0.0582766224595
p:Angular defect,0.00334332177546,0.993377483444,0.993421052632,6.87260617498e-05,0.492317053754,0.00343730202308,0.0582055235696
p:Riemann sphere,0.00335525148227,0.996688741722,0.996699669967,0.000107484493957,0.493133658016,0.00348390904705,0.0582766224595
p:Binary space partitioning,0.00334344449324,0.993377483444,0.993421052632,7.04780788667e-05,0.492317283183,0.00343906268287,0.0582023243889
p:Spherical geometry,0.00336639896505,1.0,1.0,0.00013475169391,0.493946106676,0.00351648745833,0.05836647667
p:Quadric,0.00335512876351,0.996688741722,0.996699669967,0.000105849572809,0.493133435428,0.00348119800297,0.0582798216402
p:Quantum geometry,0.00332206626149,0.986754966887,0.986928104575,3.21694063903e-05,0.490680602182,0.00339191282798,0.0579800303373
p:Constructive solid geometry,0.00332396603783,0.986754966887,0.986928104575,6.18962153859e-05,0.490684173949,0.00342847722984,0.0578614176162
p:Geometry,0.00336639896505,1.0,1.0,0.00013475169391,0.493946106676,0.00351648745833,0.05836647667
p:Line at infinity,0.00328392705771,0.973509933775,0.974193548387,2.82638797107e-05,0.487382810658,0.00338577839171,0.0572392657338
p:Golden angle,0.00333412525094,0.990066225166,0.990163934426,7.25472810745e-05,0.491502872247,0.00344090086567,0.0580354685233
p:Eccentricity (mathematics),0.003332174294,0.990066225166,0.990163934426,4.22186518187e-05,0.491499230431,0.00340464010942,0.0581156693591
p:Van Hiele model,0.00330334623096,0.980132450331,0.980519480519,3.56920918733e-05,0.489037946849,0.00339562826192,0.0575779834652
p:List of triangle inequalities,0.00319000662578,0.940397350993,0.94375,4.02743885577e-05,0.478941365057,0.00339246860218,0.0552662139061
p:Sphericon,0.00330506858343,0.980132450331,0.980519480519,6.19824333409e-05,0.489041108408,0.00342783658314,0.057478579067
p:Square,0.00335512876351,0.996688741722,0.996699669967,0.000105849572809,0.493133435428,0.00348119800297,0.0582798216402
p:Angle trisection,0.00332474802111,0.986754966887,0.986928104575,7.38654753518e-05,0.490685651274,0.00344223977964,0.0578331632167
p:Graham scan,0.00332428132179,0.986754966887,0.986928104575,6.66426720237e-05,0.49068474077,0.00343415692798,0.0578377307469
p:Circumscribed circle,0.00333683845764,0.990066225166,0.990163934426,0.000115144042857,0.491507987716,0.00349178080455,0.0578978852762
p:Taxicab geometry,0.00334344449324,0.993377483444,0.993421052632,7.04780788667e-05,0.492317283183,0.00343906268287,0.0582023243889
p:Klein geometry,0.00325691717987,0.96357615894,0.964856230032,4.97614100128e-05,0.484882760416,0.00340893629941,0.056623026878
p:Digital geometry,0.00331238655525,0.983443708609,0.983713355049,2.89779974347e-05,0.489860092738,0.00338757450555,0.057808908778
p:Transformation geometry,0.00329543363265,0.976821192053,0.977346278317,5.94610153021e-05,0.488215056152,0.00342341129864,0.0573331044671
p:Complex projective plane,0.00327599640584,0.970198675497,0.971061093248,5.14243379674e-05,0.486554214835,0.00341420084143,0.0569660645606
p:Right triangle,0.00332358027193,0.986754966887,0.986928104575,5.5847613261e-05,0.490683414682,0.00342103633,0.0578933878413
p:Kepler conjecture,0.00334398127905,0.993377483444,0.993421052632,7.89107566788e-05,0.492318303275,0.00344874900877,0.0581899674297
p:Tessellation,0.00336639896505,1.0,1.0,0.00013475169391,0.493946106676,0.00351648745833,0.05836647667
p:Spline (mathematics),0.00335525148227,0.996688741722,0.996699669967,0.000107484493957,0.493133658016,0.00348390904705,0.0582766224595
p:2D computer graphics,0.00327603676324,0.970198675497,0.971061093248,5.21407385158e-05,0.486554320354,0.00341462101396,0.056960668116
p:Analytic geometry,0.00336639896505,1.0,1.0,0.00013475169391,0.493946106676,0.00351648745833,0.05836647667
p:Central angle,0.00330243732504,0.980132450331,0.980519480519,2.1567423952e-05,0.489036249731,0.0033778738843,0.0576637006181
p:Projective line,0.00334344449324,0.993377483444,0.993421052632,7.04780788667e-05,0.492317283183,0.00343906268287,0.0582023243889
p:Point in polygon,0.00334332177546,0.993377483444,0.993421052632,6.87260617498e-05,0.492317053754,0.00343730202308,0.0582055235696
p:Matrix representation of conic sections,0.0033146849747,0.983443708609,0.983713355049,6.44168688933e-05,0.489864355335,0.00343133952152,0.0576574347884
p:Straightedge,0.00323620176892,0.956953642384,0.95873015873,2.32341052096e-05,0.483197045353,0.00337543460152,0.0563046361081
p:Circle,0.00336639896505,1.0,1.0,0.00013475169391,0.493946106676,0.00351648745833,0.05836647667
p:Prototile,0.00331704706469,0.983443708609,0.983713355049,0.000101177389591,0.489868737383,0.00347595641708,0.0575324920995
p:Girard Desargues,0.003332174294,0.990066225166,0.990163934426,4.22186518187e-05,0.491499230431,0.00340464010942,0.0581156693591
p:Coordinate rotations and reflections,0.0032782102268,0.970198675497,0.971061093248,8.53877151287e-05,0.486558288349,0.00345627156503,0.0568002817574
p:Roman surface,0.00331585519783,0.983443708609,0.983713355049,8.27521423457e-05,0.489866516596,0.00345182567534,0.0576402882315
p:Conic section,0.00336639896505,1.0,1.0,0.00013475169391,0.493946106676,0.00351648745833,0.05836647667
p:Topology,0.00335525148227,0.996688741722,0.996699669967,0.000107484493957,0.493133658016,0.00348390904705,0.0582766224595
p:Coxeter group,0.00334502074901,0.993377483444,0.993421052632,9.53269532678e-05,0.49232022434,0.00346808152005,0.0581441826184
p:Spherical trigonometry,0.00336639896505,1.0,1.0,0.00013475169391,0.493946106676,0.00351648745833,0.05836647667
p:Compass-and-straightedge construction,0.00334332177546,0.993377483444,0.993421052632,6.87260617498e-05,0.492317053754,0.00343730202308,0.0582055235696
p:3D computer graphics,0.00331263854892,0.983443708609,0.983713355049,3.2899724629e-05,0.489860575657,0.0033923709646,0.0577900488934
p:Bézier curve,0.00334539546723,0.993377483444,0.993421052632,0.000100915394838,0.49232093076,0.00347596521708,0.058122123553
p:Oval (projective plane),0.0033047692647,0.980132450331,0.980519480519,5.76283515277e-05,0.489040645237,0.00342187411871,0.0574984058294
p:Annulus (mathematics),0.00331221020144,0.983443708609,0.983713355049,2.61825629393e-05,0.489859719198,0.00338405331164,0.0578255314308
p:Minkowski space,0.00335525148227,0.996688741722,0.996699669967,0.000107484493957,0.493133658016,0.00348390904705,0.0582766224595
p:Stereographic projection,0.00336639896505,1.0,1.0,0.00013475169391,0.493946106676,0.00351648745833,0.05836647667
p:Ball (mathematics),0.00336639896505,1.0,1.0,0.00013475169391,0.493946106676,0.00351648745833,0.05836647667
p:Differential geometry,0.00335525148227,0.996688741722,0.996699669967,0.000107484493957,0.493133658016,0.00348390904705,0.0582766224595
p:Point groups in two dimensions,0.00333519232316,0.990066225166,0.990163934426,8.96680349685e-05,0.491504926414,0.00346163234483,0.0579507931683
p:Star polygon,0.00335512876351,0.996688741722,0.996699669967,0.000105849572809,0.493133435428,0.00348119800297,0.0582798216402
p:Affine space,0.00334539546723,0.993377483444,0.993421052632,0.000100915394838,0.49232093076,0.00347596521708,0.058122123553
p:Translation (geometry),0.00335525148227,0.996688741722,0.996699669967,0.000107484493957,0.493133658016,0.00348390904705,0.0582766224595
p:Ellipse,0.00336639896505,1.0,1.0,0.00013475169391,0.493946106676,0.00351648745833,0.05836647667
p:Spheroid,0.00331358484812,0.983443708609,0.983713355049,4.76502393612e-05,0.489862319853,0.0034100091132,0.0577535548286
p:Lie sphere geometry,0.00314344093294,0.923841059603,0.929230769231,5.10127452341e-05,0.474610816055,0.00339853236228,0.0542520085115
p:Chirality (mathematics),0.00334332177546,0.993377483444,0.993421052632,6.87260617498e-05,0.492317053754,0.00343730202308,0.0582055235696
p:List of trigonometry topics,0.0032166890352,0.950331125828,0.952681388013,1.51488384704e-05,0.48150179274,0.00336297589279,0.0559649092464
p:Steiner chain,0.00333537064106,0.990066225166,0.990163934426,9.20572529246e-05,0.491505240411,0.00346386865066,0.057979152625
p:Locus (mathematics),0.00335662617836,0.996688741722,0.996699669967,0.000129422477896,0.493136275689,0.00350974223928,0.0582046458573
p:Platonic solid,0.00335459197304,0.996688741722,0.996699669967,9.73138726206e-05,0.493132409719,0.00347187128228,0.0582921785994
p:Pseudosphere,0.00333387325274,0.990066225166,0.990163934426,6.86197341499e-05,0.491502389732,0.00343559751554,0.0580543284079
p:Riemannian geometry,0.00333578586157,0.990066225166,0.990163934426,9.83711177003e-05,0.491505944443,0.00347292311899,0.0579432125648
p:Crystal system,0.00333321375483,0.990066225166,0.990163934426,5.84452193094e-05,0.491501141384,0.00342459682863,0.0580698845478
p:Cross-ratio,0.00334539546723,0.993377483444,0.993421052632,0.000100915394838,0.49232093076,0.00347596521708,0.058122123553
p:Symmetry,0.00336639896505,1.0,1.0,0.00013475169391,0.493946106676,0.00351648745833,0.05836647667
p:Penrose tiling,0.00335512876351,0.996688741722,0.996699669967,0.000105849572809,0.493133435428,0.00348119800297,0.0582798216402
p:Computer graphics,0.00330743840556,0.980132450331,0.980519480519,9.85018517915e-05,0.489045458267,0.00347253570801,0.0573525332924
p:Homothetic center,0.00332249461312,0.986754966887,0.986928104575,3.89102124582e-05,0.490681460742,0.00340029782177,0.0579445477998
p:Parabolic geometry (differential geometry),0.00156629067025,0.37417218543,0.615071283096,2.40324703163e-07,0.27047798949,0.00202691713192,0.0221139292362
p:Birational geometry,0.00334344449324,0.993377483444,0.993421052632,7.04780788667e-05,0.492317283183,0.00343906268287,0.0582023243889
p:Desargues' theorem,0.003332174294,0.990066225166,0.990163934426,4.22186518187e-05,0.491499230431,0.00340464010942,0.0581156693591
p:Homothetic transformation,0.00336639896505,1.0,1.0,0.00013475169391,0.493946106676,0.00351648745833,0.05836647667
p:Contact geometry,0.00332567779741,0.986754966887,0.986928104575,8.83259282276e-05,0.490687357411,0.00345936982374,0.057807573543
p:Toric variety,0.00327409817405,0.970198675497,0.971061093248,2.28712340969e-05,0.48655078855,0.00337794045241,0.0570841015733
p:Inscribed angle,0.00334332177546,0.993377483444,0.993421052632,6.87260617498e-05,0.492317053754,0.00343730202308,0.0582055235696
p:Hidden line removal,0.00324497291836,0.960264900662,0.96178343949,1.26416422778e-05,0.48403853323,0.00336261461036,0.0565669982936
p:Napkin ring problem,0.00316941296962,0.933774834437,0.937888198758,1.65705116858e-05,0.477215005289,0.00335887140778,0.0549777994427
p:Pythagorean triple,0.00334332177546,0.993377483444,0.993421052632,6.87260617498e-05,0.492317053754,0.00343730202308,0.0582055235696
p:Infinitesimal transformation,0.00328399379867,0.973509933775,0.974193548387,2.92504350531e-05,0.487382927684,0.00338687638374,0.0572317401697
p:Reuleaux triangle,0.00335512876351,0.996688741722,0.996699669967,0.000105849572809,0.493133435428,0.00348119800297,0.0582798216402
p:Schläfli symbol,0.00335512876351,0.996688741722,0.996699669967,0.000105849572809,0.493133435428,0.00348119800297,0.0582798216402
p:Mirror image,0.00332231825743,0.986754966887,0.986928104575,3.61023865081e-05,0.490681086115,0.00339680186395,0.0579611704526
p:Cavalieri's principle,0.00329307698309,0.976821192053,0.977346278317,2.33092269269e-05,0.488210764943,0.00337988122572,0.0574595132976
p:Parallel (geometry),0.0033444839632,0.993377483444,0.993421052632,8.70330301803e-05,0.49231926104,0.00345879058389,0.0581565395775
p:Concyclic points,0.00331385796709,0.983443708609,0.983713355049,5.17270567838e-05,0.489862761808,0.00341608836322,0.0577257785944
p:Hilbert's third problem,0.003332174294,0.990066225166,0.990163934426,4.22186518187e-05,0.491499230431,0.00340464010942,0.0581156693591
p:Isosceles trapezoid,0.00333541544948,0.990066225166,0.990163934426,9.28188493941e-05,0.49150532623,0.00346663624876,0.0579295641395
p:Quasicrystal,0.00335525148227,0.996688741722,0.996699669967,0.000107484493957,0.493133658016,0.00348390904705,0.0582766224595
p:Fractal,0.00336639896505,1.0,1.0,0.00013475169391,0.493946106676,0.00351648745833,0.05836647667
p:Homogeneous coordinates,0.00336639896505,1.0,1.0,0.00013475169391,0.493946106676,0.00351648745833,0.05836647667
p:Torus,0.00336639896505,1.0,1.0,0.00013475169391,0.493946106676,0.00351648745833,0.05836647667
p:Trapezoid,0.00335459197304,0.996688741722,0.996699669967,9.73138726206e-05,0.493132409719,0.00347187128228,0.0582921785994
p:Tangential quadrilateral,0.00331376120193,0.983443708609,0.983713355049,5.01565568238e-05,0.489862613864,0.00341410228293,0.0577369321758
p:Convex hull,0.00335459197304,0.996688741722,0.996699669967,9.73138726206e-05,0.493132409719,0.00347187128228,0.0582921785994
p:Pyramid (geometry),0.00332613964216,0.986754966887,0.986928104575,9.5701719084e-05,0.49068826543,0.003468476883,0.0577593046005
p:Regular polytope,0.00334332177546,0.993377483444,0.993421052632,6.87260617498e-05,0.492317053754,0.00343730202308,0.0582055235696
p:Non-uniform rational B-spline,0.00334344449324,0.993377483444,0.993421052632,7.04780788667e-05,0.492317283183,0.00343906268287,0.0582023243889
p:Shape,0.00335512876351,0.996688741722,0.996699669967,0.000105849572809,0.493133435428,0.00348119800297,0.0582798216402
